,territorio,anno,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,area,codice_istat
76,Sardegna,2019,9.4,456.0,3.4,14.7,64.6,23.0,0.7,5.1,0.36477933889824476,36.097944160158,21.4,3.35,40.0,51.0,17.7,29.7,54.2,34.5,25.7,21725.245189560268,66.6,53.8,25.6,9.7,12.7511405894176,25.7,29.1,81.6,28.0,13.3,Isole,20
77,Sardegna,2020,9.4,445.0,9.4,12.9,65.7,23.0,0.6,3.2,0.36727595707523464,42.677367075124764,22.1,3.19,40.0,51.0,12.9,25.9,54.1,26.1,25.7,20105.069026111945,66.5,57.7,31.8,10.2,13.1509517117932,25.7,32.3,77.6,28.0,13.3,Isole,20
78,Sardegna,2021,9.4,445.0,5.9,14.0,70.3,23.0,0.6,2.7,0.24707082099780786,45.18148210384809,22.1,3.19,45.9,57.0,13.2,25.9,54.2,7.0,25.9,21745.53307861774,69.0,56.3,31.1,12.2,14.324737005715,25.9,32.3,76.8,28.0,13.3,Isole,20
79,Sardegna,2022,9.4,445.0,5.9,14.0,70.3,23.0,0.6,2.7,0.24707082099780786,45.18148210384809,22.1,3.19,44.2,55.3,13.2,25.9,54.2,7.0,25.9,21745.53307861774,69.0,56.3,31.1,12.2,14.324737005715,25.9,32.3,76.8,31.25,13.3,Isole,20
80,Sicilia,2018,11.14382920153172,465.0,5.3,29.3,53.6,11.9,0.7,9.1,0.14163839961227132,57.092961313267686,32.5,3.33,47.3,56.6,22.0,8.8,51.5,25.7,27.7,17929.84522312909,65.5,55.3,26.8,5.6,23.2370845961614,27.7,21.4,63.5,43.8,21.4,Isole,19
81,Sicilia,2019,10.0,457.0,5.1,27.3,54.3,14.4,0.7,7.2,0.35819163371801127,50.986829423443915,30.3,3.35,47.6,57.3,22.3,9.4,52.0,26.2,27.7,18242.844860279238,66.8,55.3,25.7,5.0,22.8125438436235,27.7,24.3,65.4,43.8,21.4,Isole,19
82,Sicilia,2020,10.0,443.0,7.7,21.9,54.7,14.4,0.7,5.6,0.24041346307379433,50.3164413211594,29.4,3.28,47.6,57.3,21.8,8.3,52.1,21.4,27.7,17212.055794005562,67.0,57.5,23.6,4.4,23.6994553384864,27.7,24.4,75.4,43.8,21.4,Isole,19
83,Sicilia,2021,10.0,443.0,6.7,29.0,60.9,14.4,0.7,4.0,0.5244631816760633,56.218061904381045,29.4,3.28,50.5,61.6,21.2,8.3,52.4,5.5,27.6,18282.836041377883,65.4,57.7,22.6,6.8,24.0986804215462,27.6,24.4,69.1,43.8,21.4,Isole,19
84,Sicilia,2022,10.0,443.0,6.7,29.0,60.9,14.4,0.7,4.0,0.5244631816760633,56.218061904381045,29.4,3.28,51.3,61.7,21.2,8.3,52.4,5.5,27.6,18282.836041377883,65.4,57.7,22.6,6.8,24.0986804215462,27.6,24.4,69.1,39.58333333333333,21.4,Isole,19
85,Toscana,2018,14.22415130710057,616.0,2.8,8.0,68.0,22.0,0.4,19.1,0.30985154926204983,27.164103623400027,22.8,3.11,31.4,33.0,10.3,31.4,64.9,40.7,28.0,31756.71526964686,66.2,60.3,34.2,10.3,12.2106975400675,28.0,35.9,84.1,33.3,26.8,Centro,9
86,Toscana,2019,13.33333333333333,616.0,3.9,6.0,66.1,23.8,0.4,16.6,0.20933919727314762,20.677179243462405,20.8,3.11,32.5,33.8,10.1,33.3,64.8,36.9,28.1,33049.05212529417,66.4,58.4,33.8,9.8,12.7193533380505,28.1,42.3,83.5,33.3,26.8,Centro,9
87,Toscana,2020,13.33333333333333,583.0,5.4,5.3,67.8,23.8,0.4,9.5,0.1577554553808414,24.10120277800092,23.5,2.98,32.5,33.8,12.9,26.0,64.8,32.3,28.0,29235.81317734991,66.6,62.2,35.7,8.4,13.3832765379085,28.0,37.3,81.2,33.3,35.0,Centro,9
88,Toscana,2021,13.33333333333333,583.0,5.3,6.8,72.7,23.8,0.4,10.1,0.21054676098810648,20.67423416333068,23.5,2.98,35.7,38.4,11.1,26.0,65.3,9.9,28.3,31246.79276726482,66.1,61.6,35.4,10.8,13.0193424506134,28.3,37.3,87.6,33.3,35.0,Centro,9
89,Toscana,2022,13.33333333333333,583.0,5.3,6.8,72.7,23.8,0.4,10.1,0.21054676098810648,20.67423416333068,23.5,2.98,36.0,37.9,11.1,26.0,65.3,9.9,28.3,31246.79276726482,66.1,61.6,35.4,10.8,13.0193424506134,28.3,37.3,87.6,36.11111111111111,35.0,Centro,9
90,Umbria,2018,14.64495196594364,526.0,5.8,6.4,63.4,20.4,0.6,16.0,0.7170442860891973,25.639125879359376,21.3,2.93,28.5,31.2,8.3,18.6,68.3,37.1,30.4,26085.609852588273,64.2,57.2,37.2,10.1,16.5626822875446,30.4,39.2,82.4,37.5,19.0,Centro,10
91,Umbria,2019,13.23809523809524,521.0,6.9,8.2,66.0,22.3,0.6,15.1,0.22159093427169707,14.909173823820021,21.7,2.98,29.6,32.2,9.3,18.6,71.3,34.8,30.3,26351.755292431193,64.7,56.8,38.9,10.8,13.6451420791175,30.3,32.4,86.8,37.5,38.1,Centro,10
92,Umbria,2020,13.23809523809524,506.0,7.7,5.5,63.4,22.3,0.1,8.4,0.22159093427169707,14.909173823820021,26.4,2.89,29.6,32.2,12.6,15.5,71.2,28.1,30.2,24294.132135284628,65.6,62.5,42.1,8.9,13.3008645864346,30.2,30.6,80.2,37.5,38.1,Centro,10
93,Umbria,2021,13.23809523809524,506.0,5.9,3.9,70.1,22.3,0.1,9.2,0.22410771513220112,12.68946482035928,26.4,2.89,32.6,38.2,12.0,15.5,71.3,8.1,30.3,26359.166295093375,60.5,60.1,45.1,12.0,13.7662215363381,30.3,30.6,74.3,37.5,38.1,Centro,10
94,Umbria,2022,13.23809523809524,506.0,5.9,3.9,70.1,22.3,0.1,9.2,0.22410771513220112,12.68946482035928,26.4,2.89,30.2,34.9,12.0,15.5,71.3,8.1,30.3,26359.166295093375,60.5,60.1,45.1,12.0,13.7662215363381,30.3,30.6,74.3,33.33333333333333,38.1,Centro,10
95,Valle d'Aosta/Vallée d'Aoste,2018,11.3600616528766,596.0,4.2,3.5,64.2,22.4,0.0,8.2,,,17.7,2.7,26.7,29.7,15.1,23.7,61.0,35.7,29.3,38378.54604447974,65.4,58.0,42.7,8.7,7.47699674558769,29.3,43.6,88.5,50.0,22.9,Nord-ovest,2
96,Valle d'Aosta/Vallée d'Aoste,2019,10.5,605.0,3.5,5.2,65.7,28.3,0.0,4.8,,,21.7,2.63,29.0,30.3,14.1,24.1,61.9,36.4,29.2,38856.72268156425,67.2,60.2,38.1,10.2,8.58762068762781,29.2,41.9,86.6,50.0,22.9,Nord-ovest,2
97,Valle d'Aosta/Vallée d'Aoste,2020,10.5,609.0,9.7,3.0,68.2,28.3,0.0,3.2,,,16.8,2.57,29.0,30.3,13.2,21.4,61.2,35.2,29.2,35683.1432905297,67.3,64.0,39.2,8.7,7.86215999840919,29.2,35.1,81.7,50.0,11.4,Nord-ovest,2
98,Valle d'Aosta/Vallée d'Aoste,2021,10.5,609.0,11.7,1.1,67.2,28.3,0.0,2.0,1.583380834758376,,16.8,2.57,30.8,35.6,14.1,21.4,62.0,10.3,29.0,38313.59271624898,64.6,63.7,38.4,10.7,6.77042886197671,29.0,35.1,84.1,50.0,11.4,Nord-ovest,2
99,Valle d'Aosta/Vallée d'Aoste,2022,10.5,609.0,11.7,1.1,67.2,28.3,0.0,2.0,1.583380834758376,,16.8,2.57,27.5,30.4,14.1,21.4,62.0,10.3,29.0,38313.59271624898,64.6,63.7,38.4,10.7,6.77042886197671,29.0,35.1,84.1,50.0,11.4,Nord-ovest,2
100,Veneto,2018,21.0687655763988,484.0,2.8,2.8,68.0,22.8,0.2,12.7,0.23892131803334307,18.733899533086458,22.2,2.34,28.6,28.8,10.9,21.3,64.6,38.3,24.5,33464.08163492258,66.4,59.0,36.7,10.3,16.5894759138378,24.5,32.9,78.3,33.8,21.6,Nord-est,5
101,Veneto,2019,20.3,492.0,3.1,3.5,69.9,23.8,0.4,12.0,0.20067797045538646,8.445054391940538,23.1,2.34,29.6,28.9,8.3,22.1,64.7,38.0,24.7,34109.53428214425,65.6,59.2,32.6,10.6,16.9965062591571,24.7,33.9,79.7,33.8,21.6,Nord-est,5
102,Veneto,2020,20.3,476.0,4.7,2.9,69.4,23.8,0.3,8.8,0.20145133600511525,17.05530180900534,26.0,2.34,29.6,28.9,11.2,19.2,65.7,31.2,24.8,31322.756845214895,66.9,62.0,33.8,8.0,18.6640576860751,24.8,35.3,75.4,33.8,35.3,Nord-est,5
103,Veneto,2021,20.3,476.0,4.3,4.0,73.1,23.8,0.3,11.2,0.5658004732920959,22.019587977034785,26.0,2.34,32.2,33.7,9.3,19.2,65.5,9.0,24.9,33833.91612435169,66.7,59.6,37.3,10.6,15.7940829351492,24.9,35.3,78.7,33.8,35.3,Nord-est,5
104,Veneto,2022,20.3,476.0,4.3,4.0,73.1,23.8,0.3,11.2,0.5658004732920959,22.019587977034785,26.0,2.34,32.6,33.2,9.3,19.2,65.5,9.0,24.9,33833.91612435169,66.7,59.6,37.3,10.6,15.7940829351492,24.9,35.3,78.7,40.42553191489361,35.3,Nord-est,5
