territorio,anno,Generale,Contesto,Bambini,Donne,area,codice_istat
Valle d'Aosta/Vallée d'Aoste,2018,65.9,74.4,58.3,65.9,Nord-ovest,2
Valle d'Aosta/Vallée d'Aoste,2019,66.8,78.4,57.5,66.1,Nord-ovest,2
Valle d'Aosta/Vallée d'Aoste,2020,65.9,78.0,57.4,63.8,Nord-ovest,2
Valle d'Aosta/Vallée d'Aoste,2021,61.6,68.1,52.8,65.0,Nord-ovest,2
Valle d'Aosta/Vallée d'Aoste,2022,61.9,68.1,53.5,65.0,Nord-ovest,2
Veneto,2018,58.1,68.4,56.2,51.1,Nord-est,5
Veneto,2019,58.8,69.6,57.4,50.8,Nord-est,5
Veneto,2020,58.0,71.3,52.6,52.0,Nord-est,5
Veneto,2021,57.1,66.9,50.1,55.5,Nord-est,5
Veneto,2022,57.6,66.9,50.1,57.0,Nord-est,5
