territorio,anno,area,codice_istat,Generale,Contesto,Bambini,Donne,Contesto|Ambiente,Contesto|Abitazione,Contesto|Evoluzione digitale,Contesto|Sicurezza e protezione,Contesto|Violenza contro donne e bambini,Bambini|Salute,Bambini|Istruzione,Bambini|Povertà educativa,Bambini|Capitale umano,Bambini|Capitale economico,Donne|Salute,Donne|Educazione,Donne|Opportunità economiche,Donne|Conciliazione vita-lavoro,Donne|Partecipazione politica,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Calabria,2019,Sud,18,42.4,60.5,35.7,35.4,81.5,82.5,54.5,44.6,49.6,36.5,46.0,14.9,59.0,39.3,36.4,40.7,19.4,49.5,39.1,11.92307692307692,403.0,3.8,31.2,52.8,16.7,1.6,5.3,0.20613605185558523,50.15576122644192,29.9,2.68,49.0,59.0,18.9,8.0,54.7,23.3,26.7,17517.416853029266,64.6,48.5,23.4,5.5,23.5387846947774,26.7,10.9,76.9,41.9,3.2
Calabria,2020,Sud,18,44.9,67.0,35.2,38.3,84.5,79.1,53.9,67.8,55.4,36.8,46.0,16.6,50.7,37.9,44.6,46.6,18.0,48.0,46.0,11.92307692307692,381.0,3.0,38.8,51.6,16.7,0.7,3.6,0.20778735042557447,42.98609304454639,30.1,2.7,49.0,59.0,16.9,5.0,54.5,14.8,26.6,16491.733566634706,66.6,52.7,29.1,5.6,24.2102762645752,26.6,11.9,71.9,41.9,9.7
Calabria,2021,Sud,18,46.7,68.9,35.6,41.5,84.5,83.3,57.8,70.0,54.6,36.8,42.9,22.7,40.7,39.5,47.1,50.8,19.6,46.8,56.3,11.92307692307692,381.0,4.5,28.8,59.3,16.7,0.7,2.6,0.21079657919311287,43.84891859511949,30.1,2.7,51.0,63.2,14.0,5.0,55.7,3.6,26.5,17595.239931108717,67.9,53.8,26.9,7.6,23.1976340853071,26.5,11.9,69.6,41.9,19.4
Calabria,2022,Sud,18,46.3,68.9,35.7,40.5,84.5,83.3,57.8,70.0,54.6,36.8,43.4,22.7,40.7,39.5,47.1,50.8,19.6,46.8,49.4,11.92307692307692,381.0,4.5,28.8,59.3,16.7,0.7,2.6,0.21079657919311287,43.84891859511949,30.1,2.7,51.0,62.2,14.0,5.0,55.7,3.6,26.5,17595.239931108717,67.9,53.8,26.9,7.6,23.1976340853071,26.5,11.9,69.6,36.84210526315789,19.4
Campania,2018,Sud,15,44.6,60.2,37.9,38.8,68.6,87.4,48.4,59.5,45.9,47.1,50.5,13.3,60.6,40.7,49.4,44.1,19.4,38.6,53.7,14.17253011347708,453.0,7.3,17.8,57.0,11.8,0.7,7.3,0.20066168189605224,54.9886986481385,35.4,3.32,45.0,54.0,18.4,4.7,53.1,26.1,27.9,18941.793266221568,65.4,55.9,25.0,6.1,24.6083072920565,27.9,9.4,58.2,36.8,23.5
Campania,2019,Sud,15,46.4,64.2,39.4,39.5,69.1,91.2,57.4,63.4,47.7,45.6,50.5,15.3,65.1,41.3,53.8,43.6,20.0,38.3,53.7,14.0,453.0,6.9,10.6,59.0,16.6,0.6,6.8,0.10224495847150604,58.20169185809129,37.8,3.37,44.9,54.1,17.2,4.2,52.9,30.9,27.9,19395.932438964755,67.4,57.9,26.7,5.4,24.2866904025268,27.9,10.4,55.5,36.8,23.5
Campania,2020,Sud,15,43.8,63.8,34.7,37.8,69.2,88.2,58.8,65.3,45.1,41.6,50.5,10.4,58.2,39.5,51.9,43.4,19.3,39.2,45.4,14.0,452.0,7.9,15.7,61.8,16.6,0.7,4.7,0.20549074700852563,55.785803846604765,39.1,3.28,44.9,54.1,19.0,2.8,53.4,23.4,27.8,18097.777867047742,66.3,57.1,27.1,5.2,24.5969521292927,27.8,11.0,56.1,36.8,15.7
Campania,2021,Sud,15,44.1,63.0,34.8,39.1,69.2,88.0,60.9,64.6,41.3,41.6,45.2,15.9,41.3,41.7,53.6,48.7,18.9,41.1,45.4,14.0,452.0,6.8,17.1,66.0,16.6,0.7,5.0,0.2433222384186001,58.521993242092904,39.1,3.28,48.8,60.8,16.4,2.8,53.4,5.8,27.7,19580.140670839035,67.3,57.8,26.1,7.2,24.7357921143607,27.7,11.0,59.9,36.8,15.7
Campania,2022,Sud,15,43.5,63.0,35.1,37.3,69.2,88.0,60.9,64.6,41.3,41.6,46.9,15.9,41.3,41.7,53.6,48.7,18.9,41.1,35.5,14.0,452.0,6.8,17.1,66.0,16.6,0.7,5.0,0.2433222384186001,58.521993242092904,39.1,3.28,48.0,58.2,16.4,2.8,53.4,5.8,27.7,19580.140670839035,67.3,57.8,26.1,7.2,24.7357921143607,27.7,11.0,59.9,29.629629629629626,15.7
Emilia-Romagna,2018,Nord-est,8,61.2,60.9,63.2,59.5,33.2,96.8,71.7,46.2,78.3,49.2,68.6,52.6,85.4,66.7,53.7,76.5,33.5,82.2,65.6,16.84637371107597,661.0,3.6,2.7,69.1,22.1,0.4,17.2,0.18913653570101238,15.815466374764448,24.7,2.92,30.3,32.5,10.8,33.2,68.2,41.3,24.9,36267.160553372116,65.6,58.4,38.8,12.0,13.8987427852168,24.9,39.2,85.2,35.8,36.0
