territorio,anno,Contesto|Ambiente,Contesto|Ambiente,Contesto|Abitazione,Contesto|Abitazione,Contesto|Evoluzione digitale,Contesto|Evoluzione digitale,Contesto|Sicurezza e protezione,Contesto|Sicurezza e protezione,Contesto|Violenza contro donne e bambini,Contesto|Violenza contro donne e bambini,Bambini|Salute,Bambini|Salute,Bambini|Istruzione,Bambini|Istruzione,Bambini|Povertà educativa,Bambini|Povertà educativa,Bambini|Capitale umano,Bambini|Capitale umano,Bambini|Capitale economico,Bambini|Capitale economico,Donne|Salute,Donne|Salute,Donne|Educazione,Donne|Educazione,Donne|Opportunità economiche,Donne|Opportunità economiche,Donne|Conciliazione vita-lavoro,Donne|Conciliazione vita-lavoro,Donne|Partecipazione politica,Donne|Partecipazione politica,area,codice_istat
Umbria,2021,64.0,64.0,95.1,95.1,72.6,72.6,75.1,75.1,79.4,79.4,46.3,46.3,64.6,64.6,35.5,35.5,55.4,55.4,50.0,50.0,54.1,54.1,82.8,82.8,42.7,42.7,81.6,81.6,70.2,70.2,Centro,10
Umbria,2022,64.0,64.0,95.1,95.1,72.6,72.6,75.1,75.1,79.4,79.4,46.3,46.3,67.5,67.5,35.5,35.5,55.4,55.4,50.0,50.0,54.1,54.1,82.8,82.8,42.7,42.7,81.6,81.6,64.5,64.5,Centro,10
Valle d'Aosta/Vallée d'Aoste,2018,57.0,57.0,96.2,96.2,69.8,69.8,81.7,81.7,73.0,73.0,51.6,51.6,71.8,71.8,35.8,35.8,75.2,75.2,67.5,67.5,53.0,53.0,70.0,70.0,52.3,52.3,90.5,90.5,71.1,71.1,Nord-ovest,2
Valle d'Aosta/Vallée d'Aoste,2019,58.2,58.2,95.7,95.7,80.5,80.5,89.3,89.3,74.0,74.0,44.9,44.9,70.3,70.3,38.2,38.2,76.4,76.4,68.2,68.2,57.6,57.6,70.1,70.1,50.1,50.1,87.7,87.7,71.1,71.1,Nord-ovest,2
Valle d'Aosta/Vallée d'Aoste,2020,57.6,57.6,93.7,93.7,81.7,81.7,92.8,92.8,70.5,70.5,49.2,49.2,70.3,70.3,37.9,37.9,74.8,74.8,63.7,63.7,64.1,64.1,66.5,66.5,51.4,51.4,81.9,81.9,58.9,58.9,Nord-ovest,2
Valle d'Aosta/Vallée d'Aoste,2021,57.6,57.6,93.6,93.6,81.2,81.2,95.5,95.5,35.1,35.1,49.2,49.2,66.8,66.8,36.0,36.0,51.3,51.3,67.6,67.6,62.3,62.3,72.0,72.0,53.0,53.0,83.1,83.1,58.9,58.9,Nord-ovest,2
Valle d'Aosta/Vallée d'Aoste,2022,57.6,57.6,93.6,93.6,81.2,81.2,95.5,95.5,35.1,35.1,49.2,49.2,71.0,71.0,36.0,36.0,51.3,51.3,67.6,67.6,62.3,62.3,72.0,72.0,53.0,53.0,83.1,83.1,58.9,58.9,Nord-ovest,2
Veneto,2018,45.6,45.6,97.2,97.2,72.4,72.4,63.3,63.3,73.8,73.8,36.5,36.5,71.3,71.3,42.6,42.6,80.1,80.1,63.0,63.0,55.2,55.2,69.0,69.0,28.1,28.1,68.6,68.6,47.5,47.5,Nord-est,5
Veneto,2019,46.6,46.6,96.7,96.7,75.0,75.0,57.8,57.8,83.8,83.8,35.4,35.4,70.8,70.8,48.7,48.7,79.8,79.8,63.8,63.8,55.1,55.1,65.9,65.9,27.7,27.7,70.8,70.8,47.5,47.5,Nord-est,5
Veneto,2020,48.8,48.8,96.2,96.2,74.7,74.7,68.4,68.4,76.8,76.8,32.0,32.0,70.8,70.8,40.2,40.2,74.0,74.0,59.8,59.8,60.5,60.5,58.9,58.9,24.9,24.9,69.1,69.1,62.1,62.1,Nord-est,5
Veneto,2021,48.8,48.8,95.8,95.8,76.6,76.6,63.0,63.0,59.2,59.2,32.0,32.0,67.0,67.0,44.2,44.2,52.4,52.4,63.3,63.3,56.3,56.3,70.6,70.6,30.1,30.1,70.8,70.8,62.1,62.1,Nord-est,5
Veneto,2022,48.8,48.8,95.8,95.8,76.6,76.6,63.0,63.0,59.2,59.2,32.0,32.0,67.1,67.1,44.2,44.2,52.4,52.4,63.3,63.3,56.3,56.3,70.6,70.6,30.1,30.1,70.8,70.8,71.2,71.2,Nord-est,5
