territorio,anno,Contesto|Ambiente,Contesto|Ambiente,Contesto|Abitazione,Contesto|Abitazione,Contesto|Evoluzione digitale,Contesto|Evoluzione digitale,Contesto|Sicurezza e protezione,Contesto|Sicurezza e protezione,Contesto|Violenza contro donne e bambini,Contesto|Violenza contro donne e bambini,Bambini|Salute,Bambini|Salute,Bambini|Istruzione,Bambini|Istruzione,Bambini|Povertà educativa,Bambini|Povertà educativa,Bambini|Capitale umano,Bambini|Capitale umano,Bambini|Capitale economico,Bambini|Capitale economico,Donne|Salute,Donne|Salute,Donne|Educazione,Donne|Educazione,Donne|Opportunità economiche,Donne|Opportunità economiche,Donne|Conciliazione vita-lavoro,Donne|Conciliazione vita-lavoro,Donne|Partecipazione politica,Donne|Partecipazione politica,area,codice_istat
Emilia-Romagna,2018,33.2,33.2,96.8,96.8,71.7,71.7,46.2,46.2,78.3,78.3,49.2,49.2,68.6,68.6,52.6,52.6,85.4,85.4,66.7,66.7,53.7,53.7,76.5,76.5,33.5,33.5,82.2,82.2,65.6,65.6,Nord-est,8
Emilia-Romagna,2019,34.0,34.0,95.9,95.9,76.3,76.3,48.4,48.4,69.0,69.0,51.1,51.1,67.6,67.6,52.0,52.0,85.5,85.5,67.0,67.0,54.8,54.8,76.0,76.0,36.3,36.3,81.6,81.6,65.6,65.6,Nord-est,8
Emilia-Romagna,2020,37.4,37.4,96.9,96.9,77.4,77.4,65.0,65.0,84.8,84.8,50.3,50.3,67.6,67.6,52.3,52.3,78.6,78.6,63.7,63.7,62.7,62.7,71.0,71.0,34.8,34.8,80.6,80.6,61.3,61.3,Nord-est,8
Emilia-Romagna,2021,37.4,37.4,96.7,96.7,78.6,78.6,65.7,65.7,66.6,66.6,50.3,50.3,64.0,64.0,52.8,52.8,55.3,55.3,67.4,67.4,56.0,56.0,82.5,82.5,34.5,34.5,81.6,81.6,61.3,61.3,Nord-est,8
Emilia-Romagna,2022,37.4,37.4,96.7,96.7,78.6,78.6,65.7,65.7,66.6,66.6,50.3,50.3,64.2,64.2,52.8,52.8,55.3,55.3,67.4,67.4,56.0,56.0,82.5,82.5,34.5,34.5,81.6,81.6,79.2,79.2,Nord-est,8
Friuli-Venezia Giulia,2018,63.8,63.8,97.8,97.8,71.5,71.5,53.0,53.0,70.2,70.2,38.9,38.9,73.8,73.8,60.5,60.5,84.3,84.3,58.5,58.5,53.8,53.8,78.8,78.8,40.6,40.6,73.6,73.6,41.4,41.4,Nord-est,6
Friuli-Venezia Giulia,2019,66.3,66.3,97.8,97.8,77.3,77.3,68.6,68.6,75.4,75.4,40.5,40.5,71.6,71.6,61.5,61.5,83.8,83.8,59.5,59.5,60.4,60.4,75.6,75.6,36.2,36.2,73.0,73.0,41.4,41.4,Nord-est,6
Friuli-Venezia Giulia,2020,66.7,66.7,97.8,97.8,80.2,80.2,80.5,80.5,66.2,66.2,42.0,42.0,71.6,71.6,56.2,56.2,82.6,82.6,56.7,56.7,64.9,64.9,70.8,70.8,35.6,35.6,74.8,74.8,41.4,41.4,Nord-est,6
Friuli-Venezia Giulia,2021,66.7,66.7,97.3,97.3,78.7,78.7,79.8,79.8,74.5,74.5,42.0,42.0,66.5,66.5,56.6,56.6,57.7,57.7,59.7,59.7,55.4,55.4,77.2,77.2,39.1,39.1,71.0,71.0,41.4,41.4,Nord-est,6
Friuli-Venezia Giulia,2022,66.7,66.7,97.3,97.3,78.7,78.7,79.8,79.8,74.5,74.5,42.0,42.0,67.2,67.2,56.6,56.6,57.7,57.7,59.7,59.7,55.4,55.4,77.2,77.2,39.1,39.1,71.0,71.0,62.0,62.0,Nord-est,6
Lazio,2018,62.9,62.9,89.0,89.0,72.5,72.5,61.9,61.9,68.8,68.8,56.0,56.0,65.2,65.2,42.2,42.2,85.3,85.3,63.1,63.1,53.9,53.9,65.0,65.0,34.2,34.2,72.2,72.2,66.7,66.7,Centro,12
Lazio,2019,64.3,64.3,91.3,91.3,75.3,75.3,60.5,60.5,70.0,70.0,57.0,57.0,64.2,64.2,39.5,39.5,84.3,84.3,63.9,63.9,52.7,52.7,71.2,71.2,34.4,34.4,74.1,74.1,66.7,66.7,Centro,12
Lazio,2020,68.0,68.0,90.1,90.1,76.3,76.3,66.5,66.5,69.8,69.8,62.6,62.6,64.2,64.2,38.7,38.7,82.1,82.1,60.2,60.2,58.5,58.5,70.2,70.2,32.3,32.3,75.0,75.0,66.7,66.7,Centro,12
Lazio,2021,68.0,68.0,90.2,90.2,77.6,77.6,66.3,66.3,55.9,55.9,62.6,62.6,60.3,60.3,45.0,45.0,59.5,59.5,63.2,63.2,56.9,56.9,71.3,71.3,33.7,33.7,77.8,77.8,66.7,66.7,Centro,12
Lazio,2022,68.0,68.0,90.2,90.2,77.6,77.6,66.3,66.3,55.9,55.9,62.6,62.6,60.2,60.2,45.0,45.0,59.5,59.5,63.2,63.2,56.9,56.9,71.3,71.3,33.7,33.7,77.8,77.8,49.0,49.0,Centro,12
Liguria,2018,60.0,60.0,96.8,96.8,63.3,63.3,57.6,57.6,66.0,66.0,53.7,53.7,65.9,65.9,43.6,43.6,79.4,79.4,60.1,60.1,51.9,51.9,69.4,69.4,33.6,33.6,73.5,73.5,29.6,29.6,Nord-ovest,7
Liguria,2019,62.7,62.7,95.9,95.9,68.6,68.6,61.2,61.2,67.2,67.2,53.6,53.6,66.3,66.3,49.5,49.5,81.1,81.1,61.0,61.0,54.5,54.5,73.2,73.2,36.2,36.2,74.2,74.2,29.6,29.6,Nord-ovest,7
Liguria,2020,65.1,65.1,95.5,95.5,68.9,68.9,66.3,66.3,57.2,57.2,51.4,51.4,66.3,66.3,45.7,45.7,77.6,77.6,56.9,56.9,56.4,56.4,66.0,66.0,36.9,36.9,70.1,70.1,33.1,33.1,Nord-ovest,7
Liguria,2021,65.1,65.1,93.0,93.0,72.6,72.6,65.8,65.8,51.7,51.7,51.4,51.4,60.1,60.1,39.7,39.7,53.3,53.3,60.2,60.2,62.5,62.5,69.7,69.7,34.6,34.6,67.4,67.4,33.1,33.1,Nord-ovest,7
Liguria,2022,65.1,65.1,93.0,93.0,72.6,72.6,65.8,65.8,51.7,51.7,51.4,51.4,59.3,59.3,39.7,39.7,53.3,53.3,60.2,60.2,62.5,62.5,69.7,69.7,34.6,34.6,67.4,67.4,35.4,35.4,Nord-ovest,7
Lombardia,2018,45.3,45.3,96.4,96.4,77.0,77.0,53.1,53.1,76.3,76.3,48.5,48.5,71.7,71.7,39.2,39.2,81.7,81.7,72.2,72.2,54.0,54.0,69.7,69.7,27.2,27.2,70.2,70.2,45.3,45.3,Nord-ovest,3
Lombardia,2019,49.3,49.3,96.0,96.0,80.6,80.6,58.5,58.5,72.6,72.6,47.0,47.0,70.3,70.3,43.3,43.3,80.4,80.4,72.5,72.5,54.8,54.8,70.4,70.4,28.1,28.1,74.0,74.0,45.3,45.3,Nord-ovest,3
Lombardia,2020,51.3,51.3,96.4,96.4,80.0,80.0,69.2,69.2,76.8,76.8,41.7,41.7,70.3,70.3,37.0,37.0,77.3,77.3,69.1,69.1,55.8,55.8,63.8,63.8,29.5,29.5,72.1,72.1,45.3,45.3,Nord-ovest,3
Lombardia,2021,51.3,51.3,96.6,96.6,81.5,81.5,66.6,66.6,67.5,67.5,41.7,41.7,64.9,64.9,40.8,40.8,52.3,52.3,73.4,73.4,56.2,56.2,69.9,69.9,32.2,32.2,69.5,69.5,45.3,45.3,Nord-ovest,3
Lombardia,2022,51.3,51.3,96.6,96.6,81.5,81.5,66.6,66.6,67.5,67.5,41.7,41.7,66.2,66.2,40.8,40.8,52.3,52.3,73.4,73.4,56.2,56.2,69.9,69.9,32.2,32.2,69.5,69.5,44.1,44.1,Nord-ovest,3
Marche,2018,62.4,62.4,95.4,95.4,69.6,69.6,54.0,54.0,78.1,78.1,39.5,39.5,71.2,71.2,46.3,46.3,73.7,73.7,53.2,53.2,54.8,54.8,59.8,59.8,32.9,32.9,70.7,70.7,50.3,50.3,Centro,11
Marche,2019,63.6,63.6,94.3,94.3,70.1,70.1,66.6,66.6,74.0,74.0,36.2,36.2,71.2,71.2,49.6,49.6,76.6,76.6,54.0,54.0,52.8,52.8,61.2,61.2,36.0,36.0,78.6,78.6,50.3,50.3,Centro,11
Marche,2020,67.0,67.0,95.3,95.3,69.9,69.9,64.5,64.5,64.7,64.7,34.6,34.6,71.2,71.2,45.3,45.3,70.0,70.0,51.1,51.1,58.5,58.5,61.1,61.1,35.1,35.1,76.8,76.8,60.5,60.5,Centro,11
Marche,2021,67.0,67.0,94.9,94.9,70.0,70.0,67.4,67.4,86.2,86.2,34.6,34.6,66.5,66.5,48.0,48.0,51.0,51.0,54.1,54.1,50.0,50.0,72.5,72.5,34.2,34.2,73.6,73.6,60.5,60.5,Centro,11
Marche,2022,67.0,67.0,94.9,94.9,70.0,70.0,67.4,67.4,86.2,86.2,34.6,34.6,66.6,66.6,48.0,48.0,51.0,51.0,54.1,54.1,50.0,50.0,72.5,72.5,34.2,34.2,73.6,73.6,45.6,45.6,Centro,11
Molise,2018,80.6,80.6,90.1,90.1,53.9,53.9,84.4,84.4,69.0,69.0,17.5,17.5,62.9,62.9,32.9,32.9,65.7,65.7,40.9,40.9,48.0,48.0,60.3,60.3,31.0,31.0,66.4,66.4,63.5,63.5,Sud,14
Molise,2019,81.5,81.5,90.0,90.0,60.8,60.8,85.9,85.9,53.5,53.5,17.8,17.8,61.3,61.3,32.1,32.1,65.0,65.0,41.8,41.8,46.4,46.4,58.8,58.8,31.0,31.0,63.8,63.8,63.5,63.5,Sud,14
Molise,2020,81.6,81.6,88.8,88.8,62.1,62.1,92.4,92.4,55.6,55.6,14.4,14.4,61.3,61.3,32.9,32.9,62.5,62.5,40.3,40.3,50.9,50.9,56.6,56.6,32.6,32.6,62.6,62.6,63.5,63.5,Sud,14
Molise,2021,81.6,81.6,88.1,88.1,63.4,63.4,88.6,88.6,60.1,60.1,14.4,14.4,57.5,57.5,36.2,36.2,46.1,46.1,42.3,42.3,51.4,51.4,71.0,71.0,26.4,26.4,68.5,68.5,63.5,63.5,Sud,14
Molise,2022,81.6,81.6,88.1,88.1,63.4,63.4,88.6,88.6,60.1,60.1,14.4,14.4,57.5,57.5,36.2,36.2,46.1,46.1,42.3,42.3,51.4,51.4,71.0,71.0,26.4,26.4,68.5,68.5,42.9,42.9,Sud,14
Piemonte,2018,52.8,52.8,96.4,96.4,70.9,70.9,50.0,50.0,67.4,67.4,35.0,35.0,67.5,67.5,34.2,34.2,77.6,77.6,59.3,59.3,51.5,51.5,67.6,67.6,36.4,36.4,72.6,72.6,53.7,53.7,Nord-ovest,1
Piemonte,2019,57.1,57.1,96.8,96.8,71.5,71.5,51.1,51.1,79.5,79.5,33.0,33.0,66.8,66.8,40.5,40.5,77.4,77.4,59.7,59.7,52.0,52.0,59.8,59.8,36.9,36.9,73.2,73.2,43.3,43.3,Nord-ovest,1
Piemonte,2020,58.4,58.4,93.5,93.5,72.1,72.1,59.0,59.0,61.2,61.2,30.3,30.3,66.8,66.8,36.0,36.0,73.9,73.9,56.4,56.4,54.3,54.3,55.4,55.4,37.3,37.3,73.2,73.2,43.3,43.3,Nord-ovest,1
Piemonte,2021,58.4,58.4,93.2,93.2,74.8,74.8,58.2,58.2,68.9,68.9,30.3,30.3,61.8,61.8,37.4,37.4,52.1,52.1,59.8,59.8,54.7,54.7,65.6,65.6,36.8,36.8,69.7,69.7,43.3,43.3,Nord-ovest,1
Piemonte,2022,58.4,58.4,93.2,93.2,74.8,74.8,58.2,58.2,68.9,68.9,30.3,30.3,62.7,62.7,37.4,37.4,52.1,52.1,59.8,59.8,54.7,54.7,65.6,65.6,36.8,36.8,69.7,69.7,33.2,33.2,Nord-ovest,1
Provincia Autonoma di Bolzano/Bozen,2018,65.8,65.8,96.0,96.0,71.0,71.0,56.2,56.2,66.5,66.5,53.2,53.2,63.0,63.0,74.5,74.5,87.4,87.4,84.0,84.0,77.3,77.3,71.5,71.5,34.5,34.5,62.7,62.7,66.4,66.4,Nord-est,21
Provincia Autonoma di Bolzano/Bozen,2019,70.0,70.0,96.9,96.9,75.0,75.0,71.1,71.1,80.4,80.4,52.8,52.8,61.1,61.1,71.8,71.8,87.7,87.7,85.3,85.3,79.1,79.1,74.6,74.6,34.2,34.2,60.2,60.2,66.4,66.4,Nord-est,21
Provincia Autonoma di Bolzano/Bozen,2020,74.5,74.5,96.2,96.2,76.1,76.1,68.3,68.3,62.1,62.1,52.2,52.2,61.1,61.1,64.7,64.7,84.4,84.4,80.0,80.0,72.2,72.2,63.7,63.7,29.8,29.8,58.2,58.2,66.4,66.4,Nord-est,21
Provincia Autonoma di Bolzano/Bozen,2021,74.5,74.5,95.0,95.0,76.7,76.7,69.0,69.0,61.7,61.7,52.2,52.2,54.6,54.6,66.2,66.2,55.6,55.6,84.4,84.4,74.4,74.4,58.0,58.0,30.3,30.3,57.9,57.9,66.4,66.4,Nord-est,21
Provincia Autonoma di Bolzano/Bozen,2022,74.5,74.5,95.0,95.0,76.7,76.7,69.0,69.0,61.7,61.7,52.2,52.2,55.4,55.4,66.2,66.2,55.6,55.6,84.4,84.4,74.4,74.4,58.0,58.0,30.3,30.3,57.9,57.9,74.1,74.1,Nord-est,21
Provincia Autonoma di Trento,2018,58.4,58.4,96.3,96.3,80.2,80.2,61.6,61.6,72.0,72.0,45.7,45.7,73.8,73.8,70.5,70.5,88.0,88.0,71.6,71.6,68.4,68.4,88.6,88.6,30.6,30.6,81.2,81.2,66.4,66.4,Nord-est,22
Provincia Autonoma di Trento,2019,61.1,61.1,97.5,97.5,83.3,83.3,56.9,56.9,70.0,70.0,46.7,46.7,73.6,73.6,71.2,71.2,90.8,90.8,72.8,72.8,60.6,60.6,85.4,85.4,30.5,30.5,78.9,78.9,66.4,66.4,Nord-est,22
Provincia Autonoma di Trento,2020,65.6,65.6,97.2,97.2,83.8,83.8,82.3,82.3,74.6,74.6,41.8,41.8,73.6,73.6,63.7,63.7,84.1,84.1,69.4,69.4,67.4,67.4,78.0,78.0,31.6,31.6,79.5,79.5,66.4,66.4,Nord-est,22
Provincia Autonoma di Trento,2021,65.6,65.6,97.7,97.7,84.1,84.1,83.9,83.9,74.2,74.2,41.8,41.8,68.4,68.4,61.6,61.6,58.6,58.6,73.2,73.2,62.8,62.8,89.0,89.0,33.2,33.2,78.2,78.2,66.4,66.4,Nord-est,22
Provincia Autonoma di Trento,2022,65.6,65.6,97.7,97.7,84.1,84.1,83.9,83.9,74.2,74.2,41.8,41.8,68.5,68.5,61.6,61.6,58.6,58.6,73.2,73.2,62.8,62.8,89.0,89.0,33.2,33.2,78.2,78.2,74.1,74.1,Nord-est,22
Puglia,2018,66.3,66.3,91.5,91.5,49.4,49.4,49.5,49.5,58.1,58.1,39.4,39.4,58.3,58.3,17.1,17.1,59.2,59.2,41.3,41.3,50.2,50.2,47.5,47.5,15.0,15.0,54.6,54.6,45.3,45.3,Sud,16
Puglia,2019,70.9,70.9,93.1,93.1,57.9,57.9,56.4,56.4,62.7,62.7,38.9,38.9,58.5,58.5,17.4,17.4,63.7,63.7,41.8,41.8,50.7,50.7,45.1,45.1,12.9,12.9,57.1,57.1,45.3,45.3,Sud,16
Puglia,2020,71.3,71.3,93.2,93.2,59.2,59.2,63.6,63.6,68.6,68.6,33.9,33.9,58.5,58.5,14.2,14.2,56.7,56.7,40.3,40.3,58.6,58.6,42.6,42.6,13.1,13.1,54.6,54.6,49.4,49.4,Sud,16
Puglia,2021,71.3,71.3,93.8,93.8,61.1,61.1,66.1,66.1,57.5,57.5,33.9,33.9,54.4,54.4,16.1,16.1,39.3,39.3,42.1,42.1,54.7,54.7,51.1,51.1,14.5,14.5,52.1,52.1,49.4,49.4,Sud,16
